reported_sector,suggested_sector,reported_desc,suggested_desc,reported_rate,suggested_rate,rate_delta,direction,n_establishments,total_employees,total_annual_loss,avg_loss_per_establishment
56,92,Admin/Waste Services,Public Administration,3.82,0.36,-3.46,OVERPAYING,143,80339,207312218.65,1449735.79
42,62,Wholesale Trade,Healthcare/Physicians,4.56,0.94,-3.62,OVERPAYING,184,73798,199239545.21,1082823.62
33,53,Metal/Electronics Mfg,Real Estate,4.87,0.54,-4.33,OVERPAYING,24,60342,194863265.39,8119302.72
42,52,Wholesale Trade,Finance/Insurance,4.56,0.21,-4.35,OVERPAYING,82,56252,182494425.96,2225541.78
56,62,Admin/Waste Services,Healthcare/Physicians,3.82,0.94,-2.88,OVERPAYING,557,83081,178450012.22,320377.04
44,51,Retail/Grocery,Information/Tech,3.99,0.42,-3.57,OVERPAYING,243,66389,176761110.83,727411.98
72,62,Accommodation/Food,Healthcare/Physicians,2.47,0.94,-1.53,OVERPAYING,1316,152406,173906524.04,132147.81
42,51,Wholesale Trade,Information/Tech,4.56,0.42,-4.14,OVERPAYING,154,55037,169932901.64,1103460.40
72,51,Accommodation/Food,Information/Tech,2.47,0.42,-2.05,OVERPAYING,216,110436,168844496.04,781687.48
62,51,Healthcare/Physicians,Information/Tech,0.94,0.42,-0.52,OVERPAYING,271,427743,165885579.29,612123.91
23,33,Construction/Carpentry,Metal/Electronics Mfg,11.61,4.87,-6.74,OVERPAYING,278,32829,165021271.67,593601.70
49,56,Warehousing,Admin/Waste Services,7.18,3.82,-3.36,OVERPAYING,96,64676,162070812.29,1688237.63
42,61,Wholesale Trade,Education,4.56,0.64,-3.92,OVERPAYING,31,52647,153915399.79,4965012.90
33,56,Metal/Electronics Mfg,Admin/Waste Services,4.87,3.82,-1.05,OVERPAYING,218,191486,149950771.74,687847.58
53,56,Real Estate,Admin/Waste Services,0.54,3.82,3.28,UNDERPAYING,103,58994,144312538.66,1401092.61
48,61,Transportation/Trucking,Education,7.88,0.64,-7.24,OVERPAYING,67,26577,143504956.58,2141865.02
42,48,Wholesale Trade,Transportation/Trucking,4.56,7.88,3.32,UNDERPAYING,64,57859,143262124.10,2238470.69
33,52,Metal/Electronics Mfg,Finance/Insurance,4.87,0.21,-4.66,OVERPAYING,42,40503,140765260.28,3351553.82
23,62,Construction/Carpentry,Healthcare/Physicians,11.61,0.94,-10.67,OVERPAYING,84,17329,137898740.69,1641651.67
48,92,Transportation/Trucking,Public Administration,7.88,0.36,-7.52,OVERPAYING,143,23920,134153310.72,938135.04
48,56,Transportation/Trucking,Admin/Waste Services,7.88,3.82,-4.06,OVERPAYING,178,39535,119709924.18,672527.66
23,56,Construction/Carpentry,Admin/Waste Services,11.61,3.82,-7.79,OVERPAYING,125,19876,115475227.03,923801.82
72,54,Accommodation/Food,Professional Services,2.47,0.21,-2.26,OVERPAYING,501,65815,110931709.02,221420.58
31,72,Manufacturing/Forging,Accommodation/Food,6.31,2.47,-3.84,OVERPAYING,45,38476,110190339.07,2448674.20
49,54,Warehousing,Professional Services,7.18,0.21,-6.97,OVERPAYING,70,20250,105264076.50,1503772.52
49,52,Warehousing,Finance/Insurance,7.18,0.21,-6.97,OVERPAYING,141,19744,102633774.14,727899.11
71,51,Arts/Entertainment,Information/Tech,2.89,0.42,-2.47,OVERPAYING,33,55061,101429299.69,3073615.14
33,23,Metal/Electronics Mfg,Construction/Carpentry,4.87,11.61,6.74,UNDERPAYING,74,19953,100297585.48,1355372.78
72,52,Accommodation/Food,Finance/Insurance,2.47,0.21,-2.26,OVERPAYING,58,58832,99161806.66,1709686.32
92,48,Public Administration,Transportation/Trucking,0.36,7.88,7.52,UNDERPAYING,33,17653,99005367.65,3000162.66
54,56,Professional Services,Admin/Waste Services,0.21,3.82,3.61,UNDERPAYING,176,36543,98386107.53,559011.97
32,54,Plastics/Chemical Mfg,Professional Services,5.24,0.21,-5.03,OVERPAYING,145,26182,98218474.07,677368.79
48,62,Transportation/Trucking,Healthcare/Physicians,7.88,0.94,-6.94,OVERPAYING,162,18679,96679739.51,596788.52
32,51,Plastics/Chemical Mfg,Information/Tech,5.24,0.42,-4.82,OVERPAYING,112,25893,93079017.11,831062.65
33,62,Metal/Electronics Mfg,Healthcare/Physicians,4.87,0.94,-3.93,OVERPAYING,78,31609,92645789.35,1187766.53
33,61,Metal/Electronics Mfg,Education,4.87,0.64,-4.23,OVERPAYING,35,27983,88278921.52,2522254.90
56,53,Admin/Waste Services,Real Estate,3.82,0.54,-3.28,OVERPAYING,23,33392,81684311.81,3551491.82
56,51,Admin/Waste Services,Information/Tech,3.82,0.42,-3.40,OVERPAYING,59,30852,78232033.44,1325966.67
