ein,company_name,n_downshifts,n_establishments_affected,total_employees_affected,avg_dart_delta,worst_dart_delta,years_active,states
942431278,00 MVE COR LTL; 01 MTA LTL; 02 VIS HYB; 03 PAR LTL; 04 FON LTL; 05 SMX LTL; 06 RSK LTL; 07 LAS LTL; 08 PIX LTL; 09 SAC LTL; BFL PAR; BNC HYB; BUR PAR; EKA PAR; EUG PAR; FAT PAR; HAY LTL; KNT HYB; LAX ,38,38,1132,-0.33,-5.1,"2021, 2022, 2023","AZ, CA, NV, OR, UT, WA"
161687235,Meijer,37,37,7745,-1.0,-1.0,"2021, 2022","IL, KY"
420465860,VON MAUR,36,36,2892,-1.3,-1.3,"2022, 2023","AL, GA, IA, IL, IN, KS, KY, MI, MN, MO, NE, NY, OH, WI"
454703803,"Big R Holdings, Inc.",36,36,1067,-0.3,-0.3,"2022, 2023","CO, KS, NM, OK, TX"
382335441,"Bay Human Services Inc; Bay Human Services, Inc.",29,29,353,-7.34,-9.7,"2022, 2023, 2024",MI
954356030,Ralphs Grocery Company,28,28,2996,-1.67,-1.9,"2022, 2023",CA
943024325,"PetSmart, Inc. 0460 MINNEAPOLIS; PetSmart, Inc. 0461 MAPLEWOOD; PetSmart, Inc. 0462 BURNSVILLE; PetSmart, Inc. 0463 ST LOUIS PARK; PetSmart, Inc. 0465 PLYMOUTH; PetSmart, Inc. 0467 WOODBURY; PetSmart,",27,27,740,-0.3,-0.3,"2023, 2024",MN
831484034,Stryker; Stryker Employment Company; stryker,25,25,1106,-0.58,-0.7,"2023, 2024","CA, CO, FL, IN, KS, LA, MA, MD, MI, MN, MO, NE, NJ, OH, OR, PA, TN, TX, UT, VA, WI"
311569568,Kroger Central KMA; Kroger Cincinnat Dayton KMA; Kroger Delta KMA; Kroger Louisville KMA; Ruler Stores KMA,22,22,5093,-1.85,-1.9,"2022, 2023, 2024","AR, IN, KY, OH"
208004972,"Cowan Systems, LLC.; Single Source Logistics",20,20,1717,-0.2,-0.2,"2022, 2023","AL, CT, FL, GA, IN, KY, MA, MD, NC, NJ, NY, OH, TN, UT, VA"
262018846,Dollar Tree,20,20,433,-0.3,-0.3,"2021, 2022","AZ, CA, DC, IN, MN, NC, NY"
710916655,"Flyers Energy LLC.; Flyers Energy, LLC.",20,20,163,-1.45,-1.5,"2022, 2023, 2024","AZ, CA, NV"
930929498,"""Veolia Municipal Water ConOps, Inc.""",20,20,256,-0.5,-0.5,"2022, 2023","CT, FL, IL, IN, KS, KY, MA, MI, MN, NC, OH, OK, VA, WV"
586035822,GOODWILL INDUSTRIES SOUTHERN RIVERS,19,19,71,-3.2,-3.2,"2022, 2023","AL, GA"
832247786,"C3 Industries, Inc; C3 Industries, Inc.",19,19,411,-0.3,-0.3,"2023, 2024","MA, MI, MO"
521893632,Lockheed Martin Corporation; Lockheed Martin Corporation US,18,17,5143,-1.74,-3.5,"2021, 2022, 2023, 2024","CO, FL, GA, KY, MD, MS, NC, NJ, NM, SC, TX, UT"
590718492,"Goodwill Industries-Suncoast, Inc.",17,17,616,-0.5,-0.5,"2023, 2024",FL
560732648,"Airgas Dry Ice; Airgas Dry Ice Distribution; Airgas Dry Ice-DIST; Airgas Dry Ice-Prod; Airgas USA  LLC; Airgas USA LLC; Airgas USA, LLC; Airgas Usa, LLC",17,13,676,-0.57,-1.0,"2022, 2023, 2024","CA, CT, GA, MA, NH, NY, VA"
410879087,Cygnus Home Service LLC dba Schwan's Home Service,16,16,409,-0.45,-1.5,"2021, 2022","AZ, CA, CO, MN, NE, OK, PA, SD, TX, WA"
741238443,"Heart of Texas Goodwill Industries, Inc.",15,15,408,-0.98,-1.1,"2022, 2023, 2024",TX
